"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TCCO","Technical Communications Corporation","2.6","4783680.2","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/tcco",
"TTEC","TeleTech Holdings, Inc.","28.93","1366747309.29","n/a","1996","Technology","Professional Services","http://www.nasdaq.com/symbol/ttec",
"TNC","Tennant Company","62.49","1098923581.59","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tnc",
"TDC","Teradata Corporation","31.35","4088040000","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/tdc",
"TSRA","Tessera Technologies, Inc.","32.65","1585921869.15","n/a","2003","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsra",
"TXN","Texas Instruments Incorporated","69.82","70044105163.92","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/txn",
"TGH","Textainer Group Holdings Limited","9.33","527992136.01","n/a","2007","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/tgh",
"DSGX","The Descartes Systems Group Inc.","20.42","1547063797.28","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dsgx",
"KEYW","The KEYW Holding Corporation","10.3","421839002.9","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/keyw",
"MIDD","The Middleby Corporation","127.01","7308125679.66","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/midd",
"RUBI","The Rubicon Project, Inc.","9.05","442731348.55","n/a","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rubi",
"ULTI","The Ultimate Software Group, Inc.","206.35","5971362077.8","n/a","1998","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ulti",
"TISA","Top Image Systems, Ltd.","1.7616","31566332.3616","n/a","1996","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/tisa",
"TSEM","Tower Semiconductor Ltd.","15.04","1298809280","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsem",
"TACT","TransAct Technologies Incorporated","7.44","55495026.96","n/a","1996","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/tact",
"TZOO","Travelzoo Inc.","11.7","161991367.2","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/tzoo",
"TRMR","Tremor Video, Inc.","1.8","94387152.6","n/a","2013","Technology","Advertising","http://www.nasdaq.com/symbol/trmr",
"TSL","Trina Solar Limited","10.52","973968741.6","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/tsl",
"TRT","Trio-Tech International","3.4","11944387","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/trt",
"TRIP","TripAdvisor, Inc.","62.05","9038059850.65","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/trip",
"TRTN","Triton International Limited","15.81","527979550.71","n/a","2016","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/trtn",
